site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,2,,2-0-4,0,79,45,40,71,103,93,,
FPS,2,,2-0-5,0,76,118,80,71,128,122,,
FPS,2,,2-0-6,0,16,34,24,39,50,51,,
FPS,2,,2-0-7,0,56,58,51,48,102,98,,
FPS,2,,2-0-9,0,19,27,24,22,50,42,,
FPS,2,,2-0-10,0,75,97,81,73,109,103,,
FPS,2,,,5,65,72,43,65,98,81,,
FPS,2,,,5,65,94,63,72,98,101,,
FPS,2,,,5,53,39,27,25,92,56,,
FPS,2,,,5,73,68,41,59,98,110,,
FPS,2,,,5,27,22,22,36,43,24,,
FPS,2,,,5,18,6,9,20,26,18,,
FPS,2,,,5,50,55,48,61,138,128,,
FPS,2,,,5,20,23,18,30,52,53,,
FPS,2,,,5,32,37,45,50,56,61,,
FPS,2,,,5,65,65,23,59,82,77,,
FPS,2,,,5,22,17,24,27,38,53,,
FPS,2,,,5,28,24,32,33,41,39,,
FPS,2,,,5,28,29,24,34,46,48,,
FPS,2,,,5,68,62,48,39,131,111,,
FPS,2,,,5,78,92,66,68,106,113,,
FPS,2,,,5,27,23,10,37,233,39,,
FPS,2,,,5,20,15,15,43,55,54,,
FPS,2,,,10,18,21,18,23,34,33,,
FPS,2,,,10,42,37,33,33,42,49,,
FPS,2,,,10,66,79,68,43,95,84,,
FPS,2,,,10,26,37,27,40,62,42,,
FPS,2,,,10,25,31,32,43,55,64,,
FPS,2,,,10,43,78,49,53,85,74,,
FPS,2,,,10,49,89,67,51,115,72,,
FPS,2,,,10,20,21,16,25,40,33,,
FPS,2,,,10,49,36,34,42,62,65,,
FPS,2,,,10,46,61,68,45,73,90,,
FPS,2,,,10,39,62,48,76,154,126,,
FPS,2,,,10,57,55,58,53,93,58,,
FPS,2,,,10,29,37,26,42,82,44,,
FPS,2,,,10,25,15,18,23,29,38,,
FPS,2,,,10,69,76,66,88,130,116,,
FPS,2,,,15,41,33,28,58,91,99,,
FPS,2,,,15,28,51,49,39,57,61,,
FPS,2,,,15,41,65,36,56,132,89,,
FPS,2,,,15,79,42,44,56,101,91,,
FPS,2,,,15,41,23,13,41,32,28,,
FPS,2,,,15,46,80,71,47,97,69,,
FPS,2,,,15,29,28,31,38,56,54,,
FPS,2,,,15,13,15,10,12,27,16,,
FPS,2,,,15,66,73,57,92,142,123,,
FPS,2,,,15,45,52,40,43,81,64,,
FPS,2,,,20,18,22,16,33,34,31,,
FPS,2,,,20,16,24,25,26,50,30,,
FPS,2,,,20,18,23,19,44,46,41,,
FPS,2,,,20,33,26,19,50,55,66,,
FPS,2,,,20,51,24,20,58,44,36,,
FPS,2,,,20,45,30,19,27,53,46,,
FPS,2,,,20,31,44,44,38,49,54,,
FPS,2,,,20,34,38,26,55,53,69,,
FPS,2,,,20,79,97,58,49,100,93,,
FPS,2,,,20,18,20,13,45,22,24,,
FPS,2,,,20,61,44,38,58,69,53,,
FPS,2,,,20,44,37,23,24,55,40,,
FPS,2,,,20,29,34,25,59,83,54,,
FPS,2,,,20,55,57,50,44,77,52,,
FPS,2,,,20,35,52,51,37,53,44,,
FPS,2,,,20,38,44,33,33,78,77,,
FPS,2,,,20,52,43,61,52,61,45,,
FPS,2,,,20,54,69,40,58,72,57,,
FPS,2,,,20,56,59,48,65,54,49,,
FPS,2,,,20,74,58,53,58,79,73,,
FPS,2,,,20,24,30,23,57,55,28,,
FPS,2,,,20,31,35,31,47,58,50,,
FPS,2,,,25,86,100,68,60,134,73,,
FPS,2,,,25,89,89,53,63,96,76,,
FPS,2,,,25,73,89,49,50,34,25,,
FPS,2,,,25,67,39,28,49,32,19,,
FPS,2,,,25,51,35,32,49,80,45,,
FPS,2,,,25,69,44,77,81,96,70,,
FPS,2,,,25,89,122,109,46,121,108,,
FPS,2,,,25,52,78,58,57,102,89,,
FPS,2,,,25,58,119,90,64,134,121,,
FPS,2,,,25,31,26,15,46,74,49,,
FPS,2,,,25,49,47,46,36,57,67,,
